Loading environment chess failed: No module named 'kaggle_environments.envs.chess.chess'
Loading environment llm_20_questions failed: No module named 'kaggle_environments.envs.llm_20_questions.llm_20_questions'
Loading environment lux_ai_s2 failed: No module named 'kaggle_environments.envs.lux_ai_s2.lux_ai_s2'
Loading environment open_spiel_env failed: No module named 'pokerkit'
Loading environment werewolf failed: No module named 'pydantic'
game 0: A seat 0 -> -1  (0W 1L 0D)  9s
game 1: A seat 1 -> +1  (1W 1L 0D)  27s
game 2: A seat 0 -> -1  (1W 2L 0D)  19s
game 3: A seat 1 -> +1  (2W 2L 0D)  22s
game 4: A seat 0 -> -1  (2W 3L 0D)  7s
game 5: A seat 1 -> +1  (3W 3L 0D)  28s
game 6: A seat 0 -> -1  (3W 4L 0D)  17s
game 7: A seat 1 -> -1  (3W 5L 0D)  17s
game 8: A seat 0 -> -1  (3W 6L 0D)  25s
game 9: A seat 1 -> -1  (3W 7L 0D)  29s
game 10: A seat 0 -> +1  (4W 7L 0D)  23s
game 11: A seat 1 -> +1  (5W 7L 0D)  27s
game 12: A seat 0 -> -1  (5W 8L 0D)  21s
game 13: A seat 1 -> -1  (5W 9L 0D)  16s
game 14: A seat 0 -> -1  (5W 10L 0D)  14s
game 15: A seat 1 -> +1  (6W 10L 0D)  28s
game 16: A seat 0 -> -1  (6W 11L 0D)  18s
game 17: A seat 1 -> -1  (6W 12L 0D)  16s
game 18: A seat 0 -> -1  (6W 13L 0D)  26s
game 19: A seat 1 -> +1  (7W 13L 0D)  27s
game 20: A seat 0 -> +1  (8W 13L 0D)  27s
game 21: A seat 1 -> -1  (8W 14L 0D)  25s
game 22: A seat 0 -> +1  (9W 14L 0D)  22s
game 23: A seat 1 -> +1  (10W 14L 0D)  23s
game 24: A seat 0 -> -1  (10W 15L 0D)  19s
game 25: A seat 1 -> -1  (10W 16L 0D)  23s
game 26: A seat 0 -> +1  (11W 16L 0D)  29s
game 27: A seat 1 -> +1  (12W 16L 0D)  26s
game 28: A seat 0 -> +1  (13W 16L 0D)  27s
game 29: A seat 1 -> -1  (13W 17L 0D)  21s

A=track1_search/variants/qrsac_variant  B=track1_search/agent
A record: 13W 17L 0D of 30   win rate 43.3% +/- 18% (95% CI)
VERDICT: inconclusive at this sample size -- do NOT ship on this alone
