full scratch initialisation
quantile head is FRESH (16 quantiles) - never warm started from policy logits (see QRSAC_SPEC.md item 2)
Loading environment chess failed: No module named 'kaggle_environments.envs.chess.chess'
Loading environment llm_20_questions failed: No module named 'kaggle_environments.envs.llm_20_questions.llm_20_questions'
Loading environment lux_ai_s2 failed: No module named 'kaggle_environments.envs.lux_ai_s2.lux_ai_s2'
Loading environment open_spiel_env failed: No module named 'pokerkit'
Loading environment werewolf failed: No module named 'pydantic'
iter 1/90: steps 45, buffer 1433, winrate 40%, eps 0.17, critic 0.6938, actor -3.1155, alpha 0.996, 47s
iter 2/90: steps 92, buffer 2930, winrate 30%, eps 0.17, critic 0.6310, actor -3.0621, alpha 0.986, 60s
iter 3/90: steps 145, buffer 4623, winrate 50%, eps 0.17, critic 0.5909, actor -2.9968, alpha 0.972, 77s
iter 4/90: steps 199, buffer 6357, winrate 30%, eps 0.16, critic 0.5774, actor -2.9522, alpha 0.954, 91s
iter 5/90: steps 250, buffer 7983, winrate 50%, eps 0.16, critic 0.5517, actor -2.8844, alpha 0.931, 98s
iter 6/90: steps 299, buffer 9558, winrate 30%, eps 0.16, critic 0.4967, actor -2.8017, alpha 0.904, 108s
iter 7/90: steps 349, buffer 11143, winrate 40%, eps 0.16, critic 0.4526, actor -2.7359, alpha 0.875, 120s
iter 8/90: steps 395, buffer 12618, winrate 10%, eps 0.16, critic 0.4125, actor -2.6510, alpha 0.843, 126s
iter 9/90: steps 447, buffer 14299, winrate 30%, eps 0.16, critic 0.3799, actor -2.5494, alpha 0.808, 143s
iter 10/90: steps 499, buffer 15965, winrate 20%, eps 0.15, critic 0.3504, actor -2.4358, alpha 0.771, 153s
iter 11/90: steps 549, buffer 17560, winrate 20%, eps 0.15, critic 0.3332, actor -2.3131, alpha 0.733, 163s
iter 12/90: steps 595, buffer 19037, winrate 40%, eps 0.15, critic 0.3370, actor -2.1854, alpha 0.694, 169s
iter 13/90: steps 648, buffer 20725, winrate 40%, eps 0.15, critic 0.3344, actor -2.0590, alpha 0.655, 185s
iter 14/90: steps 701, buffer 22427, winrate 10%, eps 0.15, critic 0.3174, actor -1.9385, alpha 0.614, 156s
iter 15/90: steps 754, buffer 24108, winrate 30%, eps 0.15, critic 0.3001, actor -1.8039, alpha 0.574, 55s
iter 16/90: steps 799, buffer 25556, winrate 30%, eps 0.14, critic 0.2988, actor -1.6802, alpha 0.533, 123s
iter 17/90: steps 853, buffer 27286, winrate 40%, eps 0.14, critic 0.3072, actor -1.5591, alpha 0.494, 145s
iter 18/90: steps 905, buffer 28956, winrate 20%, eps 0.14, critic 0.3058, actor -1.4366, alpha 0.455, 84s
iter 19/90: steps 944, buffer 30203, winrate 10%, eps 0.14, critic 0.2979, actor -1.3117, alpha 0.418, 86s
iter 20/90: steps 984, buffer 31470, winrate 20%, eps 0.14, critic 0.2926, actor -1.1970, alpha 0.382, 80s
iter 21/90: steps 1033, buffer 33040, winrate 20%, eps 0.14, critic 0.2733, actor -1.0864, alpha 0.348, 96s
