trunk + policy head warm started: 50 tensors
quantile head is FRESH (16 quantiles) - never warm started from policy logits (see QRSAC_SPEC.md item 2)
Loading environment chess failed: No module named 'kaggle_environments.envs.chess.chess'
Loading environment llm_20_questions failed: No module named 'kaggle_environments.envs.llm_20_questions.llm_20_questions'
Loading environment lux_ai_s2 failed: No module named 'kaggle_environments.envs.lux_ai_s2.lux_ai_s2'
Loading environment open_spiel_env failed: No module named 'pokerkit'
Loading environment werewolf failed: No module named 'pydantic'
iter 1/60: steps 23, buffer 1419, winrate 20%, eps 0.17, critic 0.6184, actor -1.4639, alpha 1.002, 13s
iter 2/60: steps 49, buffer 3091, winrate 50%, eps 0.17, critic 0.6627, actor -2.7879, alpha 1.000, 15s
iter 3/60: steps 76, buffer 4820, winrate 30%, eps 0.16, critic 0.5578, actor -3.0874, alpha 0.992, 17s
iter 4/60: steps 98, buffer 6233, winrate 20%, eps 0.16, critic 0.5060, actor -3.0418, alpha 0.982, 16s
iter 5/60: steps 120, buffer 7681, winrate 30%, eps 0.16, critic 0.4987, actor -2.9872, alpha 0.970, 17s
iter 6/60: steps 147, buffer 9382, winrate 20%, eps 0.16, critic 0.4638, actor -2.9671, alpha 0.955, 21s
iter 7/60: steps 174, buffer 11079, winrate 60%, eps 0.15, critic 0.4108, actor -2.9136, alpha 0.939, 22s
iter 8/60: steps 197, buffer 12550, winrate 30%, eps 0.15, critic 0.2492, actor -2.8539, alpha 0.921, 22s
iter 9/60: steps 225, buffer 14343, winrate 20%, eps 0.15, critic 0.1902, actor -2.8059, alpha 0.901, 26s
iter 10/60: steps 247, buffer 15754, winrate 30%, eps 0.15, critic 0.1740, actor -2.7350, alpha 0.880, 25s
iter 11/60: steps 273, buffer 17453, winrate 30%, eps 0.14, critic 0.1458, actor -2.6727, alpha 0.858, 28s
iter 12/60: steps 299, buffer 19080, winrate 30%, eps 0.14, critic 0.1494, actor -2.6050, alpha 0.834, 29s
iter 13/60: steps 325, buffer 20799, winrate 20%, eps 0.14, critic 0.1563, actor -2.5343, alpha 0.809, 32s
iter 14/60: steps 350, buffer 22377, winrate 40%, eps 0.14, critic 0.1660, actor -2.4474, alpha 0.783, 32s
iter 15/60: steps 375, buffer 23975, winrate 40%, eps 0.13, critic 0.1762, actor -2.3625, alpha 0.756, 34s
iter 16/60: steps 400, buffer 25732, winrate 20%, eps 0.13, critic 0.1607, actor -2.2756, alpha 0.728, 36s
iter 17/60: steps 400, buffer 27253, winrate 30%, eps 0.13, critic 0.1539, actor -2.1979, alpha 0.702, 34s
iter 18/60: steps 400, buffer 28676, winrate 10%, eps 0.13, critic 0.1485, actor -2.1131, alpha 0.677, 33s
