PURE RL: random initialisation, no behaviour cloning warm start
PURE RL: heuristic scorer disabled (ordering + fallback)
Loading environment chess failed: No module named 'kaggle_environments.envs.chess.chess'
Loading environment llm_20_questions failed: No module named 'kaggle_environments.envs.llm_20_questions.llm_20_questions'
Loading environment lux_ai_s2 failed: No module named 'kaggle_environments.envs.lux_ai_s2.lux_ai_s2'
Loading environment open_spiel_env failed: No module named 'pokerkit'
Loading environment werewolf failed: No module named 'pydantic'
iter 1/90: 1448 decisions, selfplay winrate 70%, loss 1.0121, steps 184, gate 0.500, 91s
iter 2/90: 1696 decisions, selfplay winrate 40%, loss 0.9510, steps 212, gate 0.495, 90s
iter 3/90: 1666 decisions, selfplay winrate 40%, loss 0.9901, steps 212, gate 0.495, 84s
iter 4/90: 1552 decisions, selfplay winrate 50%, loss 0.7407, steps 196, gate 0.484, 124s
iter 5/90: 1627 decisions, selfplay winrate 30%, loss 0.3966, steps 204, gate 0.487, 61s
iter 6/90: 1677 decisions, selfplay winrate 30%, loss 0.6808, steps 212, gate 0.492, 45s
iter 7/90: 1704 decisions, selfplay winrate 60%, loss 0.9362, steps 216, gate 0.493, 32s
iter 8/90: 1588 decisions, selfplay winrate 30%, loss 0.7319, steps 200, gate 0.488, 32s
iter 9/90: 1690 decisions, selfplay winrate 60%, loss 0.8688, steps 212, gate 0.492, 32s
iter 10/90: 1668 decisions, selfplay winrate 20%, loss 0.4977, steps 212, gate 0.488, 32s
iter 11/90: 1753 decisions, selfplay winrate 50%, loss 0.7783, steps 220, gate 0.495, 31s
iter 12/90: 1492 decisions, selfplay winrate 60%, loss 1.0388, steps 188, gate 0.503, 28s
iter 13/90: 1527 decisions, selfplay winrate 20%, loss 0.4060, steps 192, gate 0.493, 29s
iter 14/90: 1541 decisions, selfplay winrate 50%, loss 0.6029, steps 196, gate 0.486, 28s
iter 15/90: 1566 decisions, selfplay winrate 50%, loss 0.6357, steps 196, gate 0.491, 31s
iter 16/90: 1752 decisions, selfplay winrate 20%, loss 0.4088, steps 220, gate 0.495, 89s
iter 17/90: 1820 decisions, selfplay winrate 40%, loss 0.8476, steps 228, gate 0.491, 47s
iter 18/90: 1773 decisions, selfplay winrate 30%, loss 0.3743, steps 224, gate 0.497, 89s
iter 19/90: 1633 decisions, selfplay winrate 40%, loss 0.5257, steps 208, gate 0.491, 67s
iter 20/90: 1430 decisions, selfplay winrate 60%, loss 0.6529, steps 180, gate 0.488, 39s
iter 21/90: 1834 decisions, selfplay winrate 50%, loss 0.3278, steps 232, gate 0.494, 108sititer 22/90: 1773 decisions, selfplay winrate 30%, loss 0.2814, steps 224, gate 0.495, 32sititer 23/90: 1877 decisions, selfplay winrate 30%, loss 0.5475, steps 236, gate 0.497, 35s
iter 24/90: 1764 decisions, selfplay winrate 50%, loss 0.6704, steps 224, gate 0.502, 32s
iter 25/90: 1590 decisions, selfplay winrate 40%, loss 0.4626, steps 200, gate 0.493, 29s
iter 26/90: 1785 decisions, selfplay winrate 60%, loss 0.4981, steps 224, gate 0.490, 126s
iter 27/90: 1563 decisions, selfplay winrate 10%, loss 0.4156, steps 196, gate 0.495, 66s
iter 28/90: 1524 decisions, selfplay winrate 50%, loss 0.5847, steps 192, gate 0.500, 71s
iter 29/90: 1606 decisions, selfplay winrate 70%, loss 0.5930, steps 204, gate 0.504, 24s
iter 30/90: 1573 decisions, selfplay winrate 60%, loss 0.5623, steps 200, gate 0.497, 28s
iter 31/90: 1790 decisions, selfplay winrate 40%, loss 0.7341, steps 224, gate 0.499, 32s
iter 32/90: 1617 decisions, selfplay winrate 40%, loss 0.4625, steps 204, gate 0.508, 30s
iter 33/90: 1428 decisions, selfplay winrate 30%, loss 0.5010, steps 180, gate 0.517, 27s
iter 34/90: 1525 decisions, selfplay winrate 40%, loss 0.5028, steps 192, gate 0.502, 28s
iter 35/90: 1455 decisions, selfplay winrate 20%, loss 0.2485, steps 184, gate 0.503, 27s
iter 36/90: 1735 decisions, selfplay winrate 50%, loss 0.3348, steps 220, gate 0.506, 33s
iter 37/90: 1364 decisions, selfplay winrate 40%, loss 0.0810, steps 172, gate 0.503, 26s
iter 38/90: 1734 decisions, selfplay winrate 60%, loss 0.7037, steps 220, gate 0.497, 32s
iter 39/90: 1843 decisions, selfplay winrate 40%, loss 0.5151, steps 232, gate 0.503, 33s
iter 40/90: 1527 decisions, selfplay winrate 50%, loss 0.6274, steps 192, gate 0.509, 27s
iter 41/90: 1411 decisions, selfplay winrate 20%, loss 0.3266, steps 180, gate 0.505, 47s
iter 42/90: 1394 decisions, selfplay winrate 60%, loss 0.8841, steps 176, gate 0.495, 39sititer 43/90: 1601 decisions, selfplay winrate 20%, loss 0.2860, steps 204, gate 0.509, 52sititer 44/90: 1478 decisions, selfplay winrate 10%, loss 0.1007, steps 188, gate 0.504, 25sititer 45/90: 1626 decisions, selfplay winrate 50%, loss 0.4014, steps 204, gate 0.497, 46sititer 46/90: 1549 decisions, selfplay winrate 20%, loss 0.6635, steps 196, gate 0.517, 72sititer 47/90: 1724 decisions, selfplay winrate 30%, loss 0.3928, steps 216, gate 0.503, 95s
iter 48/90: 1704 decisions, selfplay winrate 50%, loss 0.1155, steps 216, gate 0.499, 79s
iter 49/90: 1631 decisions, selfplay winrate 30%, loss 0.3214, steps 204, gate 0.492, 76s
iter 50/90: 1824 decisions, selfplay winrate 30%, loss 0.3367, steps 228, gate 0.504, 64s
iter 51/90: 1610 decisions, selfplay winrate 50%, loss 0.5430, steps 204, gate 0.506, 102s
iter 52/90: 1681 decisions, selfplay winrate 50%, loss 0.4403, steps 212, gate 0.504, 66s
iter 53/90: 1597 decisions, selfplay winrate 30%, loss 0.3660, steps 200, gate 0.504, 66s
